sampleId,sampleName,foodType,category,sourness,bitterness,saltiness,umami,sweetness,compound,concentration,aroma,threshold,protein,fat,moisture,pH,saltContent,calciumMg
YG-001,Greek Style Control,Yogurt,Greek strained,4.2,1.1,0.8,1.4,2.6,Diacetyl,6.5,buttery creamy,2,10.2,4.1,78.4,4.35,0.18,145
YG-002,High Protein Vanilla,Yogurt,High protein vanilla,3.6,0.9,0.7,1.2,4.1,Vanillin,42,vanilla sweet,8,14.8,2.2,76.1,4.48,0.16,182
YG-003,Plant Oat Yogurt,Yogurt,Oat cultured,3.1,1.8,0.6,1.0,3.4,2-Pentylfuran,7.4,cereal beany,3,4.6,3.8,83.2,4.62,0.12,96
YG-004,Strawberry Fruit Yogurt,Yogurt,Strawberry fruit,3.8,0.8,0.5,0.9,4.7,Ethyl butyrate,34,fruity strawberry,6,6.8,2.9,81.0,4.42,0.14,128
YG-005,Low Sugar Skyr,Yogurt,Low sugar skyr,4.6,1.2,0.9,1.5,1.8,Acetic acid,22,sharp tangy,18,16.2,0.4,77.5,4.22,0.20,205
YG-006,Coconut Yogurt Alternative,Yogurt,Coconut cultured,2.9,1.5,0.5,0.8,3.9,Delta-octalactone,16,coconut creamy,2,3.2,8.6,82.0,4.72,0.10,88
YG-007,Lemon Kefir Yogurt,Yogurt,Lemon kefir,4.9,1.0,0.6,1.1,3.0,Citral,19,lemon citrus,4,5.4,1.8,84.5,4.08,0.13,112
YG-008,Plain Whole Milk Yogurt,Yogurt,Whole milk plain,3.9,0.7,0.8,1.3,2.2,Acetaldehyde,31,fresh cultured,12,7.8,5.2,80.6,4.40,0.17,168
YG-009,Probiotic Daily Blend,Yogurt,Probiotic cultured,4.0,1.0,0.7,1.4,2.9,Diacetyl,8.1,buttery fresh,3,9.6,3.0,79.8,4.38,0.16,158
YG-010,Wild Blueberry Yogurt,Yogurt,Blueberry fruit,3.5,0.6,0.5,0.8,5.2,Ethyl acetate,28,fruity berry,7,6.2,2.6,80.2,4.44,0.13,121
YG-011,Drinkable Mango Lassi,Yogurt,Mango lassi,3.3,0.7,0.6,0.9,5.8,Myrcene,15,tropical fruity,9,4.4,2.1,85.6,4.50,0.11,98
YG-012,Low Fat Vanilla Bean,Yogurt,Low fat vanilla,3.7,0.9,0.8,1.2,3.6,Vanillin,38,vanilla sweet,7,8.5,0.9,80.9,4.46,0.15,175
YG-013,Honey Clover Yogurt,Yogurt,Honey sweetened,3.4,0.8,0.6,1.1,5.5,Phenylacetaldehyde,11,honeyed floral,5,6.9,2.7,79.4,4.41,0.14,132
YG-014,Matcha Green Tea Yogurt,Yogurt,Matcha cultured,3.9,2.1,0.7,1.3,2.8,Geraniol,6.8,grassy vegetal,4,7.1,3.1,80.0,4.36,0.15,140
YG-015,Cashew Milk Yogurt Alt,Yogurt,Cashew cultured,3.0,1.6,0.5,0.9,3.7,Hexanal,9.3,nutty grassy,6,4.1,4.4,81.5,4.68,0.09,84
YG-016,Traditional Labneh Spread,Yogurt,Labneh strained,4.4,1.3,1.1,1.6,1.6,Lactic acid,26,sharp tangy,15,11.4,6.8,68.9,4.15,0.24,198
YG-017,Kids Strawberry Banana,Yogurt,Kids fruit blend,3.2,0.6,0.6,0.8,6.1,Isoamyl acetate,33,banana fruity,8,5.6,2.4,82.3,4.52,0.13,115
YG-018,Overnight Cold-Brew Coffee Yogurt,Yogurt,Coffee cultured,3.8,2.4,0.8,1.5,3.2,Furfural,13,roasted toasty,4,7.4,3.3,79.1,4.33,0.16,148
YG-019,Cottage-Style Curd Yogurt,Yogurt,Cottage curd,3.6,0.9,1.0,1.7,1.9,Diacetyl,7.9,buttery creamy,3,12.6,4.6,76.8,4.28,0.21,186
YG-020,Aged Overfermented Batch,Yogurt,Whole milk plain,5.4,2.6,0.9,1.3,1.4,Acetic acid,58,sharp pungent,20,7.6,5.0,80.1,4.02,0.18,164
