sampleId,type,category,sourness,bitterness,saltiness,umami,sweetness,protein,fat,moisture,pH,saltContent,calciumMg,compound,concentration,aroma,threshold
M1,meat,Pea Protein Burger,1.2,3.8,4.5,4.9,1.1,22.4,14.2,58.3,6.1,2.1,38,hexanal,0.82,grassy,0.005
M2,meat,Pea Protein Burger,1.4,3.5,4.3,4.7,1.3,21.8,13.9,59.1,6.0,2.0,36,hexanal,0.91,grassy,0.005
M3,meat,Soy Mince,1.1,4.1,4.6,5.0,0.9,24.1,11.3,56.4,6.3,2.3,42,dimethyl sulfide,0.14,sulfurous,0.002
M4,meat,Soy Mince,1.3,4.3,4.8,4.8,0.8,23.7,10.9,57.2,6.2,2.2,40,dimethyl sulfide,0.19,sulfurous,0.002
M5,meat,Mycoprotein,1.6,2.9,3.8,4.4,1.5,19.6,8.7,64.1,6.5,1.8,55,2-pentylfuran,0.31,earthy,0.008
M6,meat,Mycoprotein,1.8,2.7,3.6,4.2,1.7,20.1,9.2,63.5,6.4,1.7,52,2-pentylfuran,0.28,earthy,0.008
M7,meat,Lentil Patty,2.1,2.4,3.2,3.8,2.3,17.3,6.4,61.8,5.8,1.5,62,nonanal,0.44,fatty/waxy,0.001
M8,meat,Lentil Patty,1.9,2.6,3.4,3.9,2.1,18.0,6.8,60.9,5.9,1.6,59,nonanal,0.38,fatty/waxy,0.001
M9,meat,Jackfruit Based,2.8,1.8,2.9,2.6,3.4,8.2,2.1,72.4,5.5,1.2,28,limonene,1.24,citrus,0.010
M10,meat,Jackfruit Based,3.1,1.6,2.7,2.4,3.7,7.9,1.8,74.1,5.4,1.1,25,limonene,1.18,citrus,0.010
M11,meat,Pea Protein Burger,1.3,3.6,4.4,4.8,1.2,22.1,14.0,58.7,6.1,2.0,37,hexanal,0.86,grassy,0.005
M12,meat,Soy Mince,1.2,4.2,4.7,4.9,0.9,23.9,11.1,56.8,6.2,2.2,41,dimethyl sulfide,0.16,sulfurous,0.002
