sampleId,type,category,sourness,bitterness,saltiness,umami,sweetness,protein,fat,moisture,pH,saltContent,calciumMg,compound,concentration,aroma,threshold
S1,pbca,Coconut-based,2.3,3.1,4.2,2.8,1.5,18.2,22.5,42.1,5.8,1.8,485,,,,
S2,pbca,Coconut-based,2.8,3.4,3.9,3.1,1.3,19.1,23.8,40.5,5.7,1.9,502,,,,
S3,pbca,Cashew-based,3.2,2.7,3.4,3.8,2.1,16.4,24.5,44.2,6.0,1.6,445,,,,
S3,,,,,,,,,,,,,,Butyric acid,12.4,rancid,8.0
S3,,,,,,,,,,,,,,Hexanal,6.8,cardboard,5.0
S4,pbca,Cashew-based,3.5,2.9,3.6,3.5,2.3,17.2,25.1,43.5,6.1,1.7,458,,,,
S4,,,,,,,,,,,,,,Acetaldehyde,8.1,fermented,3.5
S5,pbca,Coconut-based,2.1,3.6,4.1,3.3,1.4,18.8,22.1,41.2,5.8,1.8,491,,,,
S6,pbca,Cashew-based,3.8,3.2,3.3,3.6,2.0,16.8,24.8,44.0,6.0,1.6,452,,,,
S6,,,,,,,,,,,,,,Diacetyl,4.2,buttery,2.8
D1,dairy,Dairy,2.2,2.1,4.5,4.3,2.0,24.9,33.1,37.0,5.2,1.8,721,,,,
D2,dairy,Dairy,2.4,2.3,4.4,4.2,2.1,25.2,33.5,36.5,5.1,1.9,735,,,,
