sampleId,sampleName,foodType,category,sourness,bitterness,saltiness,umami,sweetness,compound,concentration,aroma,threshold,protein,fat,moisture,pH,saltContent,calciumMg
B1,Sourdough Loaf v1.0,Bread,Sourdough,4.2,2.1,2.8,2.2,1.6,Acetic acid,9.2,sour/vinegary,6,9.4,3.2,38,4.2,1.6,18
B2,White Sandwich Bread v2.1,Bread,Sandwich White,1.4,1.2,2.4,1.6,3.2,Diacetyl,2.1,buttery,10,8.1,5.8,40,5.6,1.3,22
B3,Multigrain Artisan v1.0,Bread,Multigrain Artisan,2.8,3.4,3.1,2.8,2.2,Furfural,4.6,caramel/toasted,2,10.8,4.6,36,5.4,1.7,28
B4,Rye Sourdough v2.0,Bread,Rye Sourdough,5.8,3.2,3.2,2.6,1.4,Acetic acid,14.2,sour/vinegary,6,9.8,2.1,34,4.0,1.8,24
B5,Brioche v2.0,Bread,Enriched Brioche,1.1,1.0,2.0,2.1,5.4,Diacetyl,7.2,buttery/rich,10,9.6,18.4,32,5.7,1.1,30
B6,Ciabatta v1.5,Bread,Artisan Ciabatta,1.8,1.4,2.6,2.4,1.8,Furfural,2.6,caramel/toasted,2,8.4,2.8,42,5.3,1.5,16
B7,Whole Wheat Sandwich v1.0,Bread,Whole Wheat Sandwich,2.2,2.8,2.6,2.8,2.4,Furfural,3.4,caramel/wholegrain,2,11.4,4.2,38,5.5,1.5,32
B8,Seeded Rye v2.0,Bread,Seeded Rye,4.8,3.6,3.4,3.2,1.6,Acetic acid,11.4,sour/vinegary,6,11.2,5.6,35,4.1,1.8,38
B9,Baguette v1.0,Bread,Artisan Baguette,1.6,1.2,2.8,1.8,1.6,2-Acetyl-1-pyrroline,6.8,popcorn/crust,0.02,8.8,1.4,36,5.5,1.7,14
B10,Focaccia v1.2,Bread,Artisan Focaccia,1.4,1.6,4.2,3.8,1.8,Linalool,4.8,floral/herby,0.01,8.6,12.8,40,5.6,2.0,20
B11,Sourdough Boule v2.0,Bread,Sourdough,3.6,1.8,3.0,2.4,2.2,Acetic acid,7.6,sour/balanced,6,9.8,3.6,37,4.1,1.8,20
B12,Enriched White v3.1,Bread,Enriched White,0.9,0.8,2.2,1.8,4.8,Diacetyl,5.8,buttery/rich,10,8.2,8.2,34,5.7,1.3,26
